source,kind,joint,frame,angle_deg
2D,推定,spine0,1,1.05957985422696
2D,推定,spine0,2,0.3469804057263487
2D,推定,spine0,3,1.2038968693337897
2D,推定,spine0,4,3.6931360336850183
2D,推定,spine0,5,6.097854369263044
2D,推定,spine0,6,7.148114185074691
2D,推定,spine0,7,8.482760609455624
2D,推定,spine0,8,11.452620847878691
2D,推定,spine0,9,9.981948841891121
2D,推定,spine0,10,7.971394668483306
2D,推定,spine0,11,6.705008473409897
2D,推定,spine0,12,5.882228753517543
2D,推定,spine0,13,3.899066836128054
2D,推定,spine0,14,5.0381616823133255
2D,推定,spine0,15,7.169585164897255
2D,推定,spine0,16,11.521409463779099
2D,推定,spine0,17,15.898156661043064
2D,推定,spine0,18,14.237298840524634
2D,推定,spine0,19,10.654621886305383
2D,推定,spine0,20,10.083668750536823
2D,推定,spine0,21,10.394755237586264
2D,推定,spine0,22,6.835710490899172
2D,推定,spine0,23,0.33511185576563546
2D,推定,spine0,24,3.727610734637241
2D,推定,spine0,25,0.3823236632407484
2D,推定,spine0,26,3.7974560241947866
2D,推定,spine0,27,0.24268859685976735
2D,推定,spine0,28,27.049647464784798
2D,推定,spine0,29,32.614012739841534
2D,推定,spine0,30,14.31861919545271
2D,推定,spine0,31,14.659895015434364
2D,推定,spine0,32,7.12485614609816
2D,推定,spine0,33,18.565656337050868
2D,推定,spine0,34,18.180297044554997
2D,推定,spine0,35,17.45775253819934
2D,推定,spine0,36,10.3462139525967
2D,推定,spine0,37,5.165134265911625
2D,推定,spine0,38,10.084306778885711
2D,推定,spine0,39,14.859874139837261
2D,推定,spine0,40,17.506469055114348
2D,推定,spine0,41,14.50823093784969
2D,推定,spine0,42,17.32288567498071
2D,推定,spine0,43,26.69066117538014
2D,推定,spine0,44,18.673940406457586
2D,推定,spine0,45,16.34047132850821
2D,推定,spine0,46,17.96786588248795
2D,推定,spine0,47,12.931534344567744
2D,推定,spine0,48,9.446213056595594
2D,推定,spine0,49,2.8974593947488847
2D,推定,spine0,50,5.405759961218032
2D,推定,spine0,51,5.409878387298904
2D,推定,spine0,52,2.548419184910453
2D,推定,spine0,53,3.8089315275052784
2D,推定,spine0,54,2.2957711206148734
2D,推定,spine0,55,2.3885140203170026
2D,推定,spine0,56,0.12976979470504554
2D,推定,spine0,57,2.8794331229770003
2D,推定,spine0,58,6.383510695899183
2D,推定,spine0,59,6.462515790802839
2D,推定,spine0,60,5.502404589159121
2D,推定,spine0,61,2.4487992095785627
