source,label,frame,length
2D,17点モデル(拡張前),1,123.52646627507539
2D,17点モデル(拡張前),2,123.52646627507539
2D,17点モデル(拡張前),3,123.52646627507539
2D,17点モデル(拡張前),4,123.52646627507539
2D,17点モデル(拡張前),5,123.52646627507539
2D,17点モデル(拡張前),6,123.52646627507539
2D,17点モデル(拡張前),7,123.52646627507539
2D,17点モデル(拡張前),8,123.52646627507539
2D,17点モデル(拡張前),9,125.73702701501131
2D,17点モデル(拡張前),10,131.82589143380596
2D,17点モデル(拡張前),11,131.82589143380596
2D,17点モデル(拡張前),12,131.82589143380596
2D,17点モデル(拡張前),13,131.82589143380596
2D,17点モデル(拡張前),14,123.52646627507539
2D,17点モデル(拡張前),15,115.36487094220456
2D,17点モデル(拡張前),16,102.93872430852196
2D,17点モデル(拡張前),17,115.36487094220456
2D,17点モデル(拡張前),18,123.52647110032731
2D,17点モデル(拡張前),19,115.36487094220456
2D,17点モデル(拡張前),20,127.90939623107172
2D,17点モデル(拡張前),21,115.36487094220456
2D,17点モデル(拡張前),22,118.8039556698871
2D,17点モデル(拡張前),23,126.40943205980024
2D,17点モデル(拡張前),24,124.38134029762512
2D,17点モデル(拡張前),25,111.44037696251672
2D,17点モデル(拡張前),26,125.23037000886173
2D,17点モデル(拡張前),27,113.6995352540874
2D,17点モデル(拡張前),28,107.37253369859363
2D,17点モデル(拡張前),29,121.6246231149935
2D,17点モデル(拡張前),30,120.04615289103327
2D,17点モデル(拡張前),31,111.25003924232247
2D,17点モデル(拡張前),32,115.36487094220456
2D,17点モデル(拡張前),33,121.62461903107194
2D,17点モデル(拡張前),34,125.73702701501131
2D,17点モデル(拡張前),35,131.82589143380596
2D,17点モデル(拡張前),36,137.95326210301644
2D,17点モデル(拡張前),37,135.94148612968306
2D,17点モデル(拡張前),38,144.11421789213287
2D,17点モデル(拡張前),39,148.46034671682614
2D,17点モデル(拡張前),40,154.75083263058875
2D,17点モデル(拡張前),41,159.60482542267758
2D,17点モデル(拡張前),42,158.4052750626927
2D,17点モデル(拡張前),43,156.7915956556336
2D,17点モデル(拡張前),44,149.88104244704036
2D,17点モデル(拡張前),45,156.38557507456056
2D,17点モデル(拡張前),46,151.0079852730301
2D,17点モデル(拡張前),47,170.3939188812248
2D,17点モデル(拡張前),48,157.46597353907663
2D,17点モデル(拡張前),49,156.38557507456056
2D,17点モデル(拡張前),50,169.77090689157907
2D,17点モデル(拡張前),51,170.3939188812248
2D,17点モデル(拡張前),52,156.79159692280732
2D,17点モデル(拡張前),53,170.3939206302491
2D,17点モデル(拡張前),54,164.83059047664327
2D,17点モデル(拡張前),55,164.83059047664327
2D,17点モデル(拡張前),56,171.2623342386541
2D,17点モデル(拡張前),57,157.46597353907663
2D,17点モデル(拡張前),58,170.3939206302491
2D,17点モデル(拡張前),59,170.3939206302491
2D,17点モデル(拡張前),60,183.33500460383183
2D,17点モデル(拡張前),61,191.58774112300674
2D,17点モデル(拡張前),62,189.80962850451513
2D,17点モデル(拡張前),63,182.7560953647835
2D,17点モデル(拡張前),64,195.42097698980788
2D,17点モデル(拡張前),65,195.42097698980788
2D,17点モデル(拡張前),66,188.91429364083038
2D,17点モデル(拡張前),67,182.40787707437084
2D,17点モデル(拡張前),68,188.8020782470703
2D,17点モデル(拡張前),69,182.40787707437084
2D,17点モデル(拡張前),70,188.91429364083038
2D,17点モデル(拡張前),71,195.3125
2D,17点モデル(拡張前),72,182.29165649414062
2D,17点モデル(拡張前),73,188.91429364083038
2D,17点モデル(拡張前),74,188.91429364083038
2D,17点モデル(拡張前),75,182.40787707437084
2D,17点モデル(拡張前),76,182.29165649414062
2D,17点モデル(拡張前),77,175.78123474121094
2D,17点モデル(拡張前),78,169.2708282470703
2D,17点モデル(拡張前),79,170.39390372300724
2D,17点モデル(拡張前),80,176.2628266482201
2D,17点モデル(拡張前),81,175.901756329673
2D,17点モデル(拡張前),82,171.26231683709057
2D,17点モデル(拡張前),83,177.69977591461256
2D,17点モデル(拡張前),84,177.69977591461256
2D,17点モデル(拡張前),85,177.69977591461256
2D,17点モデル(拡張前),86,177.69977591461256
2D,17点モデル(拡張前),87,177.69977591461256
2D,17点モデル(拡張前),88,171.26231683709057
2D,17点モデル(拡張前),89,171.26231683709057
2D,17点モデル(拡張前),90,171.26231683709057
2D,17点モデル(拡張前),91,171.26231683709057
2D,17点モデル(拡張前),92,171.26231683709057
2D,17点モデル(拡張前),93,171.26231683709057
2D,17点モデル(拡張前),94,171.26231683709057
2D,17点モデル(拡張前),95,171.26231683709057
2D,17点モデル(拡張前),96,170.39390547203172
2D,17点モデル(拡張前),97,170.39390547203172
2D,17点モデル(拡張前),98,170.39390547203172
2D,17点モデル(拡張前),99,170.39390547203172
2D,17点モデル(拡張前),100,170.39390547203172
2D,17点モデル(拡張前),101,170.39390547203172
2D,19点モデル(拡張後),1,155.11011259443546
2D,19点モデル(拡張後),2,155.28120270325368
2D,19点モデル(拡張後),3,154.1863698383033
2D,19点モデル(拡張後),4,154.58921136515409
2D,19点モデル(拡張後),5,155.4238523025466
2D,19点モデル(拡張後),6,156.07617359620485
2D,19点モデル(拡張後),7,159.25752977036547
2D,19点モデル(拡張後),8,156.69899301703506
2D,19点モデル(拡張後),9,153.71394878966154
2D,19点モデル(拡張後),10,150.7444207516463
2D,19点モデル(拡張後),11,153.18725583858065
2D,19点モデル(拡張後),12,153.6577249323448
2D,19点モデル(拡張後),13,153.5643624277023
2D,19点モデル(拡張後),14,150.79479619014433
2D,19点モデル(拡張後),15,150.44687019981237
2D,19点モデル(拡張後),16,149.22482107341594
2D,19点モデル(拡張後),17,147.9890158935725
2D,19点モデル(拡張後),18,147.85247907972575
2D,19点モデル(拡張後),19,145.7986203459457
2D,19点モデル(拡張後),20,154.2546073099192
2D,19点モデル(拡張後),21,143.62124853520137
2D,19点モデル(拡張後),22,142.9458997693514
2D,19点モデル(拡張後),23,146.08255738107889
2D,19点モデル(拡張後),24,152.62257471675582
2D,19点モデル(拡張後),25,165.70235565374148
2D,19点モデル(拡張後),26,144.54241637194306
2D,19点モデル(拡張後),27,99.79947324102451
2D,19点モデル(拡張後),28,81.47623359488617
2D,19点モデル(拡張後),29,88.91660704786659
2D,19点モデル(拡張後),30,115.01334438833166
2D,19点モデル(拡張後),31,116.02550555693102
2D,19点モデル(拡張後),32,104.56784068804777
2D,19点モデル(拡張後),33,117.31319384830798
2D,19点モデル(拡張後),34,135.30556425386084
2D,19点モデル(拡張後),35,142.36822081082576
2D,19点モデル(拡張後),36,144.46197630256523
2D,19点モデル(拡張後),37,146.78462714788463
2D,19点モデル(拡張後),38,141.69738662120102
2D,19点モデル(拡張後),39,146.55590308836156
2D,19点モデル(拡張後),40,147.72683454468435
2D,19点モデル(拡張後),41,152.40851864147314
2D,19点モデル(拡張後),42,156.29313697551962
